start,end,type,measure,beat_start,duration,track,TS,measure_score,start_midi,end_midi
-1,3,a,0,1,4,0,2/4,0,1,5
3,7,a,2,1,4,0,2/4,2,5,9
7,23,c,4,1,16,0,2/4,4,9,25
23,27,a,12,1,4,0,2/4,12,25,29
27,31,a,14,1,4,0,2/4,14,29,33
31,33,a,16,1,2,0,2/4,16,33,35
32,34,a,17,0,2,1,2/4,17,34,36
33,35,a,17,1,2,0,2/4,17,35,37
35,44,b,18,1,9,0,2/4,18,37,46
44,52,b,23,0,8,0,2/4,23,46,54
52,59,b,27,0,7,0,2/4,27,54,61
59,61,e,30,1,2,0,2/4,30,61,63
61,63,e,31,1,2,0,2/4,31,63,65
63,65,e,32,1,2,0,2/4,32,65,67
65,67,e,33,1,2,0,2/4,33,67,69
67,69,e,34,1,2,0,2/4,34,69,71
69,74,e,35,1,5,0,2/4,35,71,76
74,78,f,38,0,4,0,2/4,38,76,80
78,81,h,40,0,3,0,2/4,40,80,83
81,86,f,41,1,5,0,2/4,41,83,88
86,89,h,44,0,3,0,2/4,44,88,91
92,94,j,47,0,2,0,2/4,47,94,96
94,96,j,48,0,2,0,2/4,48,96,98
96,98,j,49,0,2,0,2/4,49,98,100
98,100,j,50,0,2,0,2/4,50,100,102
100,102,a,51,0,2,0,2/4,51,102,104
101,103,a,51,1,2,1,2/4,51,103,105
102,104,a,52,0,2,0,2/4,52,104,106
103,105,a,52,1,2,1,2/4,52,105,107
104,109,i,53,0,5,0,2/4,53,106,111
109,117,e,55,1,8,0,2/4,55,111,119
117,129,e,59,1,12,0,2/4,59,119,131
128,131,h,65,0,3,1,2/4,65,130,133
131,135,a,67,-1,4,0,2/4,1,133,137
135,139,a,68,1,4,0,2/4,2,137,141
139,155,c,70,1,16,0,2/4,4,141,157
155,159,a,78,1,4,0,2/4,12,157,161
159,163,a,80,1,4,0,2/4,14,161,165
163,165,a,82,1,2,0,2/4,16,165,167
164,166,a,83,0,2,1,2/4,17,166,168
165,167,a,83,1,2,0,2/4,17,167,169
167,176,b,84,1,9,0,2/4,18,169,178
176,184,b,89,0,8,0,2/4,23,178,186
184,191,b,93,0,7,0,2/4,27,186,193
191,193,e,96,1,2,0,2/4,30,193,195
193,195,e,97,1,2,0,2/4,31,195,197
195,197,e,98,1,2,0,2/4,32,197,199
197,199,e,99,1,2,0,2/4,33,199,201
199,201,e,100,1,2,0,2/4,34,201,203
201,206,e,101,1,5,0,2/4,35,203,208
206,210,f,104,0,4,0,2/4,38,208,212
210,213,h,106,0,3,0,2/4,40,212,215
213,218,f,107,1,5,0,2/4,41,215,220
218,221,h,110,0,3,0,2/4,44,220,223
224,226,j,113,0,2,0,2/4,47,226,228
226,228,j,114,0,2,0,2/4,48,228,230
228,230,j,115,0,2,0,2/4,49,230,232
230,232,j,116,0,2,0,2/4,50,232,234
232,234,a,117,0,2,0,2/4,51,234,236
233,235,a,117,1,2,1,2/4,51,235,237
234,236,a,118,0,2,0,2/4,52,236,238
235,237,a,118,1,2,1,2/4,52,237,239
236,241,i,119,0,5,0,2/4,53,238,243
241,249,e,121,1,8,0,2/4,55,243,251
249,261,e,125,1,12,0,2/4,59,251,263
260,263,h,131,0,3,1,2/4,65,262,265
264,267,h,133,0,3,0,2/4,67,266,269
268,271,h,135,0,3,1,2/4,69,270,273
272,275,h,137,0,3,1,2/4,71,274,277
276,279,h,139,0,3,0,2/4,73,278,281
280,283,h,141,0,3,0,2/4,75,282,285
284,288,g,143,0,4,0,2/4,77,286,290
288,292,g,145,0,4,0,2/4,79,290,294
292,296,g,147,0,4,0,2/4,81,294,298
296,300,g,149,0,4,0,2/4,83,298,302
300,304,g,151,0,4,0,2/4,85,302,306
304,308,g,153,0,4,0,2/4,87,306,310
308,312,g,155,0,4,0,2/4,89,310,314
312,316,g,157,0,4,0,2/4,91,314,318
316,320,g,159,0,4,0,2/4,93,318,322
320,323,h,161,0,3,0,2/4,95,322,325
324,327,h,163,0,3,1,2/4,97,326,329
328,331,h,165,0,3,0,2/4,99,330,333
332,335,h,167,0,3,0,2/4,101,334,337
336,339,h,169,0,3,1,2/4,103,338,341
340,343,h,171,0,3,1,2/4,105,342,345
344,347,h,173,0,3,1,2/4,107,346,349
348,353,h,175,0,5,1,2/4,109,350,355
365,369,a,183,1,4,0,2/4,117,367,371
369,373,a,185,1,4,0,2/4,119,371,375
373,389,c,187,1,16,0,2/4,121,375,391
391,395,a,196,1,4,0,2/4,130,393,397
395,399,a,198,1,4,0,2/4,132,397,401
399,401,a,200,1,2,0,2/4,134,401,403
400,402,a,201,0,2,1,2/4,135,402,404
401,403,a,201,1,2,0,2/4,135,403,405
403,411,c,202,1,8,0,2/4,136,405,413
412,419,c,207,0,7,0,2/4,141,414,421
419,428,b,210,1,9,0,2/4,144,421,430
428,436,b,215,0,8,0,2/4,149,430,438
436,443,d,219,0,7,1,2/4,153,438,445
444,451,d,223,0,7,1,2/4,157,446,453
455,457,e,228,1,2,0,2/4,162,457,459
457,459,e,229,1,2,0,2/4,163,459,461
459,461,e,230,1,2,0,2/4,164,461,463
461,463,e,231,1,2,0,2/4,165,463,465
463,465,e,232,1,2,0,2/4,166,465,467
465,470,e,233,1,5,0,2/4,167,467,472
470,474,f,236,0,4,0,2/4,170,472,476
474,477,h,238,0,3,0,2/4,172,476,479
477,482,f,239,1,5,0,2/4,173,479,484
482,485,h,242,0,3,0,2/4,176,484,487
488,490,j,245,0,2,0,2/4,179,490,492
490,492,j,246,0,2,0,2/4,180,492,494
492,494,j,247,0,2,0,2/4,181,494,496
494,496,j,248,0,2,0,2/4,182,496,498
496,498,a,249,0,2,0,2/4,183,498,500
497,499,a,249,1,2,1,2/4,183,499,501
498,500,a,250,0,2,0,2/4,184,500,502
499,501,a,250,1,2,1,2/4,184,501,503
500,505,i,251,0,5,0,2/4,185,502,507
504,509,i,253,0,5,1,2/4,187,506,511
509,517,e,255,1,8,0,2/4,189,511,519
517,533,e,259,1,16,0,2/4,193,519,535
532,535,h,267,0,3,1,2/4,201,534,537
536,539,h,269,0,3,0,2/4,67,538,541
540,543,h,271,0,3,1,2/4,69,542,545
544,547,h,273,0,3,1,2/4,71,546,549
548,551,h,275,0,3,0,2/4,73,550,553
552,555,h,277,0,3,0,2/4,75,554,557
556,560,g,279,0,4,0,2/4,77,558,562
560,564,g,281,0,4,0,2/4,79,562,566
564,568,g,283,0,4,0,2/4,81,566,570
568,572,g,285,0,4,0,2/4,83,570,574
572,576,g,287,0,4,0,2/4,85,574,578
576,580,g,289,0,4,0,2/4,87,578,582
580,584,g,291,0,4,0,2/4,89,582,586
584,588,g,293,0,4,0,2/4,91,586,590
588,592,g,295,0,4,0,2/4,93,590,594
592,595,h,297,0,3,0,2/4,95,594,597
596,599,h,299,0,3,1,2/4,97,598,601
600,603,h,301,0,3,0,2/4,99,602,605
604,607,h,303,0,3,0,2/4,101,606,609
608,611,h,305,0,3,1,2/4,103,610,613
612,615,h,307,0,3,1,2/4,105,614,617
616,619,h,309,0,3,1,2/4,107,618,621
620,625,h,311,0,5,1,2/4,109,622,627
637,641,a,319,1,4,0,2/4,117,639,643
641,645,a,321,1,4,0,2/4,119,643,647
645,661,c,323,1,16,0,2/4,121,647,663
663,667,a,332,1,4,0,2/4,130,665,669
667,671,a,334,1,4,0,2/4,132,669,673
671,673,a,336,1,2,0,2/4,134,673,675
672,674,a,337,0,2,1,2/4,135,674,676
673,675,a,337,1,2,0,2/4,135,675,677
675,683,c,338,1,8,0,2/4,136,677,685
684,691,c,343,0,7,0,2/4,141,686,693
691,700,b,346,1,9,0,2/4,144,693,702
700,708,b,351,0,8,0,2/4,149,702,710
708,715,d,355,0,7,1,2/4,153,710,717
716,723,d,359,0,7,1,2/4,157,718,725
727,729,e,364,1,2,0,2/4,162,729,731
729,731,e,365,1,2,0,2/4,163,731,733
731,733,e,366,1,2,0,2/4,164,733,735
733,735,e,367,1,2,0,2/4,165,735,737
735,737,e,368,1,2,0,2/4,166,737,739
737,742,e,369,1,5,0,2/4,167,739,744
742,746,f,372,0,4,0,2/4,170,744,748
746,749,h,374,0,3,0,2/4,172,748,751
749,754,f,375,1,5,0,2/4,173,751,756
754,757,h,378,0,3,0,2/4,176,756,759
760,762,j,381,0,2,0,2/4,179,762,764
762,764,j,382,0,2,0,2/4,180,764,766
764,766,j,383,0,2,0,2/4,181,766,768
766,768,j,384,0,2,0,2/4,182,768,770
768,770,a,385,0,2,0,2/4,183,770,772
769,771,a,385,1,2,1,2/4,183,771,773
770,772,a,386,0,2,0,2/4,184,772,774
771,773,a,386,1,2,1,2/4,184,773,775
772,777,i,387,0,5,0,2/4,185,774,779
776,781,i,389,0,5,1,2/4,187,778,783
781,789,e,391,1,8,0,2/4,189,783,791
789,805,e,395,1,16,0,2/4,193,791,807
804,807,h,403,0,3,1,2/4,201,806,809
