start,end,type,measure,start_beat,duration,track,TS,measure_score
-1,1,a,0,1,2,0,2/4,0
1,3,a,1,1,2,0,2/4,1
3,5,a,2,1,2,0,2/4,2
5,7,a,3,1,2,0,2/4,3
7,9,a,4,1,2,0,2/4,4
9,11,a,5,1,2,0,2/4,5
11,13,a,6,1,2,0,2/4,6
13,16,a,7,1,3,0,2/4,7
16,19,c,9,0,3,0,3/4,9
19,22,c,10,0,3,0,3/4,10
39,41,a,15,5,2,0,6/4,15
41,43,a,16,1,2,0,2/4,16
43,51,e,17,1,8,0,2/4,17
51,58,e,21,1,7,0,2/4,21
58,66,e,25,0,8,0,2/4,25
66,74,e,29,0,8,0,2/4,29
74,80,e,33,0,6,0,2/4,33
80,86,e,36,0,6,0,2/4,36
86,93,e,39,0,7,0,2/4,39
105,107,a,48,1,2,0,2/4,48
107,109,a,49,1,2,0,2/4,49
109,111,a,50,1,2,0,2/4,50
111,113,a,51,1,2,0,2/4,51
113,115,a,52,1,2,0,2/4,52
115,118,a,53,1,3,1,2/4,53
117,119,a,54,1,2,0,2/4,54
119,121,a,55,1,2,0,2/4,55
124,127,c,58,0,3,0,3/4,58
127,130,c,59,0,3,0,3/4,59
149,151,a,65,4,2,0,5/4,65
151,153,a,66,1,2,0,2/4,66
153,155,a,67,1,2,0,2/4,67
155,157,a,68,1,2,0,2/4,68
157,161,e,69,1,4,0,2/4,69
161,165,e,71,1,4,0,2/4,71
165,168,e,73,1,3,0,2/4,73
190,192,a,86,0,2,0,2/4,86
192,194,a,87,0,2,0,2/4,87
194,196,a,88,0,2,0,2/4,88
196,198,a,89,0,2,0,2/4,89
198,200,a,90,0,2,0,2/4,90
200,202,a,91,0,2,0,2/4,91
202,204,a,92,0,2,0,2/4,92
204,206,a,93,0,2,0,2/4,93
206,208,a,94,0,2,0,2/4,94
208,210,a,95,0,2,0,2/4,95
210,212,a,96,0,2,0,2/4,96
212,214,a,97,0,2,0,2/4,97
