onset,midi_number,morphetic_number,duration,staff_number,measure,type
-0.5,57,58,0.25,1,0,
-0.5,69,65,0.25,0,0,
-0.5,81,72,0.25,0,0,a
0.0,52,55,0.5,1,1,
0.0,64,62,0.5,0,1,
0.0,76,69,0.5,0,1,a
1.5,52,55,0.125,1,1,
1.5,64,62,0.125,0,1,a
1.625,50,54,0.125,1,1,
1.625,62,61,0.125,0,1,a
1.75,49,53,0.125,1,1,
1.75,61,60,0.125,0,1,a
1.875,47,52,0.125,1,1,
1.875,59,59,0.125,0,1,a
2.0,45,51,1.0,1,2,
2.0,57,58,1.0,0,2,a
3.5,57,58,0.25,1,2,
3.5,69,65,0.25,0,2,
3.5,81,72,0.25,0,2,a
4.0,54,56,0.5,1,3,
4.0,66,63,0.5,0,3,
4.0,78,70,0.5,0,3,a
5.5,54,56,0.125,1,3,
5.5,66,63,0.125,0,3,a
5.625,52,55,0.125,1,3,
5.625,64,62,0.125,0,3,a
5.75,50,54,0.125,1,3,
5.75,62,61,0.125,0,3,a
5.875,49,53,0.125,1,3,
5.875,61,60,0.125,0,3,a
6.0,47,52,1.0,1,4,
6.0,59,59,1.0,0,4,a
7.5,62,61,0.25,1,4,
7.5,74,68,0.25,0,4,
7.5,86,75,0.25,0,4,a
8.0,59,59,0.5,1,5,
8.0,71,66,0.5,0,5,
8.0,83,73,0.5,0,5,a
9.0,56,57,0.5,1,5,
9.0,68,64,0.5,0,5,
9.0,80,71,0.5,0,5,a
10.0,52,55,0.5,1,6,
10.0,64,62,0.5,0,6,
10.0,76,69,0.5,0,6,a
11.0,50,54,0.5,1,6,
11.0,62,61,0.5,0,6,
11.0,74,68,0.5,0,6,a
12.0,47,52,0.5,1,7,
12.0,59,59,0.5,0,7,
12.0,71,66,0.5,0,7,a
13.0,44,50,0.5,1,7,
13.0,56,57,0.5,0,7,
13.0,68,64,0.5,0,7,a
14.0,40,48,0.5,1,8,
14.0,52,55,0.5,0,8,
14.0,64,62,0.5,0,8,a
15.5,57,58,0.166666667,0,8,b
